冊別,類型,篇名,來源單元,題號,題目,選項A,選項B,選項C,選項D,選項E,選項F,正確答案,解析,題目卷檔名,答案卷檔名
英語第五冊,文法診斷,"cost, take, spend, pay","英語第五冊_文法診斷_cost, take, spend, pay",6,Walking to school me only ten minutes.,costs,takes,pays,spends,,,B,,"英語第五冊_文法診斷_cost, take, spend, pay_題目卷.pdf","英語第五冊_文法診斷_cost, take, spend, pay_答案卷.pdf"
英語第五冊,文法診斷,"cost, take, spend, pay","英語第五冊_文法診斷_cost, take, spend, pay",7,Jack: How much does the book ? Sue: Two hundred dollars.,cost,take,pay,spend,,,A,,"英語第五冊_文法診斷_cost, take, spend, pay_題目卷.pdf","英語第五冊_文法診斷_cost, take, spend, pay_答案卷.pdf"
英語第五冊,文法診斷,"cost, take, spend, pay","英語第五冊_文法診斷_cost, take, spend, pay",8,"Amy: The food in that restaurant is delicious. Best of all, I didn't much money for the meal.",Jenny: Really? Where is that restaurant?,cost,take,pay,,,C,,"英語第五冊_文法診斷_cost, take, spend, pay_題目卷.pdf","英語第五冊_文法診斷_cost, take, spend, pay_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",1,"Steve: The cake is so delicious.
Huck: You can that again.",say,speak,tell,talk,,,A,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",2,"Ted is only five, but he can the time.",say,speak,tell,talk,,,C,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",3,It is that she is the best tennis player in Taiwan.,said,spoken,told,talked,,,A,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",4,"William: Hello, this is William . Is that Maggie?
Joseph: You have the wrong number.",saying,speaking,telling,talking,,,B,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",5,"My classmate, Tim, likes to lies.",say,speak,tell,talk,,,C,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",6,The morning paper there was a big fire in Hualien.,says,speaks,tells,talks,,,A,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",7,She me that she liked swimming.,said,spoke,told,talked,,,C,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",8,"Lucy: I can't find Sophie. Where is she?
Jane: She she had to return a book. Maybe she's at the library now.",said,spoke,told,talked,,,A,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",9,Susan usually the story Snow White to her children.,says,speaks,tells,talks,,,C,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",10,She can five languages.,say,speak,tell,talk,,,B,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,"say, speak, tell, talk","英語第五冊_文法診斷_say, speak, tell, talk",11,John and Tom are baseball fans. They love to about baseball games.,say,speak,tell,talk,,,D,,"英語第五冊_文法診斷_say, speak, tell, talk_題目卷.pdf","英語第五冊_文法診斷_say, speak, tell, talk_答案卷.pdf"
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,1,of the people were hurt in this accident.,Several,Much,Each,One,,,A,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,2,He spent of his money,many,much,both,several,,,B,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,3,There is a lot of water here. Much of is dirty.,one,ones,it,them,,,C,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,4,There are four books on the desk. of them are comic books.,One,Three,Each,Much,,,B,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,5,of the medicine bitter (苦的).,One; is,Several; are,Many ; is,Most; is,,,D,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,6,I have many ball pens. of are red.,Most; them,Most; it,Each; them,Each; it,,,A,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,7,All of today's homework difficult.,are,is,do,does,,,B,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,8,of the students in the classroom are having lunch now.,One,Much,Each,All,,,D,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,9,of my hands are clean.,All,Both,One,Some,,,B,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,10,of the students has to do his own homework.,Each,Both,Some,All,,,A,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,11,"I saw some oranges in that fruit store, but I didn't buy any because I don't think are good
enough.",one,ones,it,they,,,D,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,12,of the answers is not right.,One,Some,Both,All,,,A,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,13,of the medicine is not good for you.,One,Some,Many,Several,,,B,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,14,All of the rice here grown naturally .,is,are,does,do,,,A,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,15,"You can't eat any of the
on the table .",apple,apples,it,them,,,B,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,16,"Jack was really worried. Some of the
in his wallet
lost.",money; was,money; were,dollars; was,dollars; were,,,A,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,17,Some of the interesting.,book; is,book; are,books; is,books; are,,,D,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,18,"Tina: Are there any students in the classroom?
Jean: No, there are not . The classroom is empty (空的).",ones,some,any,they,,,C,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,19,"John: Are there any comic books on your desk?
Tom: Yes, there are .",ones,some,any,they,,,B,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,20,No one in the class to study the same subject all day.,like,likes,enjoy,enjoys,,,B,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,21,The new books look like old .,one,ones,it,them,,,B,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,22,"A: Do you like coffee?
B: Yes, I like .",one,ones,it,them,,,C,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,23,"My watch doesn't work, so I have to buy a new .",one,it,ones,them,,,A,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,不定代名詞 & it they,英語第五冊_文法診斷_不定代名詞 & it they,24,"My watch doesn't work, so I have to fix .",one,ones,it,them,,,C,,英語第五冊_文法診斷_不定代名詞 & it they_題目卷.pdf,英語第五冊_文法診斷_不定代名詞 & it they_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,1,"Both of my sisters study English every day, and so do .",your,his,her,their,,,B,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,2,This is not Mary's car. is black.,She,Her,Hers,,,,C,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,3,You can ask if you have any questions about it.,me,my,I,mine,,,A,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,4,"There are no train tickets left, so decide to go by plane.",we,our,us,ours,,,A,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,5,The twin brothers work very hard. All the teachers like .,they,their,them,theirs,,,C,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,6,"These are bikes, not theirs.",we,our,us,ours,,,B,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,7,Frank is a good friend of .,me,my,I,mine,,,D,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,8,Don't worry. Those boys will help you because are all my students.,they,their,them,theirs,,,A,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,9,I'm busy now. Why not go with ?,he,his,him,,,,C,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,10,I like book very much. I would like to go to the bookstore to get one,she,her,hers,,,,B,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,11,Tom: Is that Mrs. White's house?,"Jack : Yes, it's .",she,her,hers,,,C,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,12,You have to finish the work on own.,you,your,yours,,,,B,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,13,"Every morning, rode his motorcycle to the factory to work.",he,his,him,,,,A,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,14,"This is your notebook, and that is .",I,my,me,mine,,,D,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,主格、所有格、受格所有代名詞,英語第五冊_文法診斷_主格、所有格、受格所有代名詞,15,My hair is longer than .,she,her,hers,,,,C,,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_題目卷.pdf,英語第五冊_文法診斷_主格、所有格、受格所有代名詞_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格、所有格、受格,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格,1,"After class, all the students took own things and left the classroom.",they,their,them,,,,B,,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格、所有格、受格,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格,2,The police ran after a thief and then they caught .,he,him,his,it,,,B,,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格、所有格、受格,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格,3,He invited Jolin and me to his party. It means he invited to his party.,them,you,me,us,,,D,,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格、所有格、受格,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格,4,Jack sent two tickets to Linda. It means Jack sent to .,it; her,them; she,them; her,it; she,,,C,,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格、所有格、受格,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格,5,Mary's brother wrote a letter to his girlfriend. It means wrote a letter to .,she; him,her; him,him; she,he; her,,,D,,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格、所有格、受格,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格,6,I have a sister. is just three years old and very cute.,She,He,Her,His,,,A,,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格、所有格、受格,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格,7,Helen is my cousin. I often call and have a talk.,him,he,she,her,,,D,,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格、所有格、受格,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格,8,"Susan is opening the door, not closing .",it,him,them,her,,,A,,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格、所有格、受格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,1,are all good teachers.,"We, you, and they","You, they, and we","They, we, and you","We, they, and you",,,A,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,2,are all good students.,"I, you, and she","You, I, and she","She, you, and I","You, she, and I",,,D,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,3,"Jack: Where is your sister?
Tony: She is in room.",she,he,her,you,,,C,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,4,"Mary: Is that girl your classmate?
Jean: Yes, is.",it,I,he,she,,,D,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,5,"John: Is that a desk?
Tom: Yes, is.",that,this,it,its,,,C,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,6,is a Chinese.,They,You,We,She,,,D,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,7,That is a dog. name is Spot.,It,It's,Its,He's,,,C,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,8,Mrs. Brown is our teacher. is very nice.,She,He,Her,His,,,A,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,9,are students.,Their,They,Your,He,,,B,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,人稱代名詞主格和所有格,英語第五冊_文法診斷_人稱代名詞主格和所有格,10,This is brother.,I,you,she,her,,,D,,英語第五冊_文法診斷_人稱代名詞主格和所有格_題目卷.pdf,英語第五冊_文法診斷_人稱代名詞主格和所有格_答案卷.pdf
英語第五冊,文法診斷,介詞＋ 地方 (一),英語第五冊_文法診斷_介詞＋ 地方 (一),1,The red ball is the box.,in,on,under,,,,A,,英語第五冊_文法診斷_介詞＋ 地方 (一)_題目卷.pdf,英語第五冊_文法診斷_介詞＋ 地方 (一)_答案卷.pdf
英語第五冊,文法診斷,介詞＋ 地方 (一),英語第五冊_文法診斷_介詞＋ 地方 (一),2,The blue ball is the box.,in,on,under,,,,B,,英語第五冊_文法診斷_介詞＋ 地方 (一)_題目卷.pdf,英語第五冊_文法診斷_介詞＋ 地方 (一)_答案卷.pdf
英語第五冊,文法診斷,介詞＋ 地方 (一),英語第五冊_文法診斷_介詞＋ 地方 (一),3,The yellow ball is the box.,in,on,under,,,,C,,英語第五冊_文法診斷_介詞＋ 地方 (一)_題目卷.pdf,英語第五冊_文法診斷_介詞＋ 地方 (一)_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,1,It's six o'clock in the morning now. A lot of people _______ exercise in the park.,do,are doing,will do,has done,,,B,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,2,Dad: You _______ your computer since last week. What happened?,aren't used,haven't used,won't use,don't use,,,B,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,3,"We only have 20 minutes left. _______ to eat faster, or we will miss the train.",Remember,Remembering,Being remembered,Having remembered,,,A,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,4,It _______ 3 months since Tom left Taiwan for Japan.,is,was,will be,has been,,,D,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,5,This is the picture which _______ by your son during the trip last month. How nice it is!,took,was taking,was taken,has taken,,,C,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,6,They _______ a lot of kites in their classroom last Sunday.,make,made,are made,will made,,,B,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,7,"Bill _______ math every night, so he always gets high grades on math tests.",studies,studied,will study,has studied,,,A,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,8,Tom _______ TV in the living room when his father got home.,watched,was watching,will watch,has watched,,,B,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,9,Please _______ your book to page 21. We'll learn Lesson 3 today.,open,opened,are opening,will open,,,A,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,10,"David: I _______ just made some coffee. Would you like some?
Bob: Yes, please.",was,have,am,will,,,B,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,11,My sister _______ some books for us next Monday.,buys,bought,will buy,has bought,,,C,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,12,"The car often looks new, because it _______ by his owner three times a week.",is washing,is washed,has washed,will wash,,,B,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
英語第五冊,文法診斷,動詞時態綜合應用,英語第五冊_文法診斷_動詞時態綜合應用,13,The boy _______ to Japan with his parents many times.,went,goes,has been,has gone,,,C,,英語第五冊_文法診斷_動詞時態綜合應用_題目卷.pdf,英語第五冊_文法診斷_動詞時態綜合應用_答案卷.pdf
